id,title,ogrn,phone,about,city_id,contact_person_id,photo
1,Зеленый город,1234567890123,+71000000000,"Мы занимается созданием и обслуживанием зеленых зон в городах и поселках, обеспечивая жителям комфортные условия для отдыха на природе и занятий спортом.",605,31,
2,Парки и Скверы,1234567890124,+72000000000,"Мы специализируемся на разработке и реализации проектов по благоустройству парков и скверов, включая ландшафтный дизайн, озеленение и установку малых архитектурных форм.",605,32,
3,Городские Перспективы,1234567890125,+73000000000,"Благоустройство территорий является одним из основных направлений нашей деятельности. Мы предлагаем полный спектр услуг, начиная от проектирования и заканчивая реализацией проектов.",605,33,
4,Уютный Город,1234567890126,+74000000000,"Нашим приоритетом является благоустройство жилых районов и дворовых территорий, включая создание детских и спортивных площадок, установку освещения и озеленение.",605,34,
5,Эко-Благоустройство,1234567890127,+75000000000,"Основное направление нашей деятельности  - использование экологически чистых материалов и технологий при благоустройстве территорий, а также создание зон для раздельного сбора мусора и энергосберегающих систем освещения.",827,35,
6,Ландшафтный Дизайн ,1234567890128,+76000000000,"Специалисты нашей занимаются разработкой и реализацией проектов по ландшафтному дизайну, предлагая услуги по созданию гармоничных и функциональных пространств для отдыха, работы и спорта.",827,36,
7,Комфортная Среда ,1234567890129,+77000000000,"Мы специализируемся на комплексном благоустройстве городских территорий, включающем организацию пешеходных зон, создание велодорожек и зон отдыха, а также установку уличного освещения.",827,37,
8,Зеленые Насаждения,1234567890130,+78000000000,"Основная деятельность нашей организации заключается в озеленении городских территорий и частных участков, включая посадку деревьев, кустарников и газонов, а также уход за зелеными насаждениями.",169,38,
9,Чистый Город,1234567890131,+79000000000,"Наша организация предлагает услуги по уборке и вывозу мусора, обслуживанию общественных туалетов, а также установке и обслуживанию систем видеонаблюдения для обеспечения безопасности на благоустроенных территориях.",169,39,
10,Благоустройство и Озеленение ,1234567890132,+71100000000,"Мы занимаемся разработкой и реализацией проектов благоустройства территорий, включая озеленение, установку детских и спортивных площадок и малых архитектурных форм, а также обслуживание и ремонт объектов благоустройства.",169,40,
11,Красивый дворик,1234567890133,+72200000000,"Инициативная группа жителей, занимающаяся озеленением и благоустройством дворовых территорий.",80,41,
12,Экопарк,1234567890134,+73300000000,"Мы специализируемся на создании и обслуживании экопарков с разнообразными видами растений, водоемами и зонами отдыха.",80,42,
13,Урбанистические решения,1234567890135,+74400000000,Мы занимаемся разработкой и реализацией инновационных и эффективных решений для благоустройства городских пространств.,80,43,
14,Уютная аллея,1234567890136,+75500000000,"Наша организация специализируется на создании уютных аллей в городских парках и усадьбах, с установкой скамеек, освещения и декоративных элементов.",167,44,
15,Дизайн-сад,1234567890137,+76600000000,Мы специализируется на разработке дизайн-проектов садов и благоустройстве территорий частных домов и усадеб.,167,45,
16,Красивый город,1234567890138,+77700000000,"Совместная организация граждан и предприятий, занимающаяся озеленением и улучшением благоустройства города.",167,46,
17,Благоустройство и комфорт,1234567890139,+78800000000,"Компания, предоставляющая широкий спектр услуг по благоустройству территорий, от уборки и озеленения до обустройства пешеходных зон.",276,47,
18,Агентство по благоустройству и архитектуре,1234567890140,+79900000000,Наша организация специализируется на проектировании архитектурных форм и комплексном благоустройстве городских пространств.,276,48,
19,Зеленый мир,1234567890141,+71110000000,"Индивидуальный предприниматель, осуществляющий озеленение частных участков и создание садов.",276,49,
20,За чистый город,1234567890142,+72220000000,"Некоммерческая организация, занимающаяся пропагандой экологических ценностей и проведением акций по благоустройству города.",276,50,
21,Безопасный город,1234567890143,+73330000000,"Ведущая городская организация, занимающаяся обеспечением безопасности на улицах, в общественных местах и на дорогах. Мы активно работаем над повышением осведомленности граждан о безопасности и обучаем волонтеров ключевым навыкам, таким как правила дорожного движения. Оказание первой медицинской помощи, действия в чрезвычайных ситуациях и многое другое.",605,52,
